Name,Year,Delivery,Affiliation,PCA1,PCA2,PCA3,Length
  Lyndon B. Johnson,1966,s,D,-0.006690221766543511,-0.1432856049624498,-0.21482551595810004,5404
  Lyndon B. Johnson,1967,s,D,-0.03761466053713401,-0.03520703929657821,-0.04828933216997912,7293
  Lyndon B. Johnson,1968,s,D,-0.03023021695520423,-0.11121393157295653,0.13852459696165093,5027
  Lyndon B. Johnson,1969,s,D,0.030477999906672514,-0.018173074671125042,0.0009035371592438016,4218
  Richard Nixon,1970,s,R,-0.0009489274761536812,-0.07017386224483488,-0.17158501769223636,4586
  Richard Nixon,1971,s,R,0.01290275228326659,-0.15451445739195552,-0.13440741079922797,4597
  Richard Nixon,1972,b,R,0.07374179645450382,-0.1225738909718818,0.27528928540620784,4083
  Richard Nixon,1973,b,R,0.008835720294349304,-0.2315608990959116,-0.05454603549529972,1697
  Richard Nixon,1974,b,R,0.05507932878742395,0.035994855745835636,-0.023546434699293337,5243
  Gerald R. Ford,1975,s,R,0.05705039902088941,0.08002597755111376,-0.03599097802546339,4197
  Gerald R. Ford,1976,s,R,0.0508949671924472,-0.07900038513870282,0.11621810409935154,5072
  Gerald R. Ford,1977,s,R,-0.06347898975256158,-0.05636021547807619,-0.05855590056483137,4712
  Jimmy Carter,1978,b,D,-0.030172815272696225,-0.21944407296122972,-0.05974799908165238,4693
  Jimmy Carter,1979,b,D,-0.041757298576622165,-0.16297620983104333,-0.011170925674965207,3317
  Jimmy Carter,1980,b,D,-0.021025990710552035,-0.13750769158111376,-0.08134476232421163,3456
  Jimmy Carter,1981,w,D,-0.05485866197438706,-0.07695268947755213,-0.05068869034220525,34241
  Ronald Reagan,1982,s,R,0.0491249390222592,-0.1215863517043272,-0.045078897923113495,5275
  Ronald Reagan,1983,s,R,-0.03920063629153518,-0.04602200016412439,-0.08222023379816445,5657
  Ronald Reagan,1984,s,R,-0.10864477367145889,-0.17755979109058562,-0.09426662636287583,5055
  Ronald Reagan,1985,s,R,-0.0008375711236247828,-0.09448135015173714,0.11283856959737833,4331
  Ronald Reagan,1986,s,R,-0.029345362321967428,0.021102492936201436,0.0529586733809457,3543
  Ronald Reagan,1987,s,R,0.06939637165782522,0.0449393523522183,-0.022435846389150502,3839
  Ronald Reagan,1988,s,R,0.07913083820129585,-0.049696928155206335,0.09023313499715034,4905
  George H.W. Bush,1990,s,R,0.008877423097814939,0.006572775813472348,0.14994568176526554,3850
  George H.W. Bush,1991,s,R,-0.0070675433119744314,-0.10628004820838445,-0.07243315730121709,3855
  George H.W. Bush,1992,s,R,-0.022716434716389157,-0.2122194542991525,-0.08045827735921599,4772
  William J. Clinton,1994,s,D,0.006805752870461044,-0.09695235093661339,-0.06450774511098017,7514
  William J. Clinton,1995,s,D,0.007645798010740066,-0.016982663840993867,0.040274875923040604,9349
  William J. Clinton,1996,s,D,0.03652561188671863,0.028611493556071496,0.019133941055974803,6404
  William J. Clinton,1997,s,D,-0.04571136856550161,-0.13305338610090048,-0.112289854428023,6881
  William J. Clinton,1998,s,D,-0.03936341853161046,-0.15481343668773573,-0.07758734745538755,7427
  William J. Clinton,1999,s,D,-0.07736917450420928,-0.1312844005383088,-0.04541638719282671,7641
  William J. Clinton,2000,s,D,-0.155080959410273,-0.19894145537004146,-0.1166262497127036,7532
  George W. Bush,2001,o,R,-0.039551753610498466,-0.0818053869686767,-0.018580989508470997,4799
  George W. Bush,2001,o,R,0.10934316330178963,0.08138535065670155,0.1009371362306621,3260
  George W. Bush,2002,s,R,0.0018301204053643126,-0.10839915953840247,0.008015660410859202,3940
  George W. Bush,2003,s,R,0.04170913118557064,-0.047374668107412886,0.0030151503595229213,5497
  George W. Bush,2004,s,R,0.023903670224395247,-0.03493767946235933,0.030499378854920493,5353
  George W. Bush,2005,s,R,0.02331441336540027,-0.047675859961393084,0.015054679697864733,5210
  George W. Bush,2006,s,R,-0.0037855811295863274,-0.0775583188641623,-0.03395031308235867,5510
